selected_feature
sp_max
sp_min
solar_rad_max
Temp_anomaly
AH_anomaly
Temp_max_prior2
Temp_min_prior5
AH_mean_prior3
AH_mean_prior4
Precip_sum_prior5
Precip_sum_prior6
Solar_mean_prior5
Solar_mean_prior6
Temp_anomaly_prior1
Temp_anomaly_prior3
Temp_anomaly_prior4
Temp_anomaly_prior5
Temp_anomaly_prior6
RH_anomaly_prior1
RH_anomaly_prior6
AH_anomaly_prior2
AH_anomaly_prior5
Solar_anomaly_prior1
Solar_anomaly_prior3
Solar_anomaly_prior4
week_sin
week_cos
hhs_region
pop_den
